Wall time,Step,Value
1787854031.7037594,1,0.042080409824848175
1787854486.1987698,2,0.046118222177028656
1787854895.1275277,3,0.016800159588456154
1787855475.0280108,4,0.013410537503659725
1787856055.0731673,5,0.008420207537710667
1787856630.0662484,6,0.012308829464018345
1787857202.176011,7,0.05184539034962654
1787857803.9157057,8,0.03455793112516403
1787858370.270057,9,0.02942688576877117
1787858939.1607172,10,0.0723886713385582
1787859512.526748,11,0.06522341072559357
1787860078.98203,12,0.08410852402448654
1787860649.377536,13,0.08359108865261078
1787861217.563161,14,0.08776351064443588
1787861787.9725628,15,0.0903722271323204
1787862356.9047947,16,0.09874826669692993
1787862925.9137928,17,0.13543803989887238
1787863493.1934958,18,0.10825704783201218
