Wall time,Step,Value
1787750615.6817012,1,0.007410445250570774
1787751013.8116157,2,0.19931858777999878
1787751401.8889031,3,0.24420799314975739
1787751871.5181,4,0.013331304304301739
1787752370.1205955,5,0.25434744358062744
1787752873.2485683,6,0.04585642367601395
1787753368.3780403,7,0.25682079792022705
1787753865.0904777,8,0.2573111951351166
1787754353.9149153,9,0.34765860438346863
1787754847.3490005,10,0.33401069045066833
1787755327.9609861,11,0.35480165481567383
1787755810.2952466,12,0.2987394332885742
1787756303.2282908,13,0.3294592499732971
1787756794.6461632,14,0.3130434453487396
1787757280.3263133,15,0.32209843397140503
1787757754.1426373,16,0.35253381729125977
1787758237.863178,17,0.35313835740089417
1787758728.4859774,18,0.3303736448287964
1787759213.7337837,19,0.3384416699409485
1787759702.8147948,20,0.332584023475647
