section,metric,value
box_level,tp,1035
box_level,tn,0
box_level,fp,2041
box_level,fn,857
box_level,accuracy,0.2631578947368421
box_level,precision,0.3364759427828348
box_level,recall,0.5470401691331924
box_level,specificity,0.0
box_level,f1,0.41666666666666663
box_level,youden_j,-0.4529598308668076
image_level,tp,1015
image_level,tn,3085
image_level,fp,1049
image_level,fn,187
image_level,accuracy,0.7683658170914542
image_level,precision,0.49176356589147285
image_level,recall,0.8444259567387687
image_level,specificity,0.7462506047411708
image_level,f1,0.6215554194733619
image_level,youden_j,0.5906765614799396
global,tau,0.37
global,visualization_threshold,0.37
global,mean_predictions_per_image,0.5764617691154422
global,mean_best_matched_iou,0.6853030166409093
