threshold,tp,tn,fp,fn,precision,recall,specificity,f1,youden_j
0.0,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.01,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.02,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.03,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.04,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.05,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.06,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.07,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.08,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.09,1202,2,4132,0,0.22534683164604424,1.0,0.0004837929366231253,0.3678090575275398,0.0004837929366230398
0.1,1202,8,4126,0,0.2256006006006006,1.0,0.0019351717464925011,0.3681470137825421,0.0019351717464926033
0.11,1202,23,4111,0,0.22623753058535667,1.0,0.005563618771165941,0.3689946277820414,0.005563618771165846
0.12,1202,73,4061,0,0.22838685160554817,1.0,0.017658442186744075,0.3718484145398298,0.01765844218674406
0.13,1202,153,3981,0,0.23191202006559908,1.0,0.03701015965166909,0.3765074393108849,0.037010159651668983
0.14,1201,237,3897,1,0.23558258140447233,0.9991680532445923,0.057329462989840346,0.38126984126984126,0.056497516234432776
0.15,1201,371,3763,1,0.241941982272361,0.9991680532445923,0.08974358974358974,0.38955562763542007,0.088911642988182
0.16,1200,505,3629,2,0.24849865396562434,0.9983361064891847,0.12215771649733914,0.3979439562261648,0.12049382298652378
0.17,1198,642,3492,4,0.25543710021321964,0.9966722129783694,0.15529753265602322,0.406653088934148,0.1519697456343927
0.18,1197,802,3332,5,0.2642967542503864,0.9958402662229617,0.19400096758587324,0.417728145175362,0.18984123380883489
0.19,1195,965,3169,7,0.2738313473877177,0.9941763727121464,0.23343009192065794,0.42939274164570607,0.22760646463280443
0.2,1194,1119,3015,8,0.28367783321454026,0.9933444259567388,0.2706821480406386,0.44132323045647753,0.2640265739973775
0.21,1193,1270,2864,9,0.29405964998767564,0.9925124792013311,0.30720851475568456,0.45369842175318503,0.29972099395701557
0.22,1192,1422,2712,10,0.305327868852459,0.9916805324459235,0.3439767779390421,0.46690168429298856,0.3356573103849656
0.23,1190,1554,2580,12,0.3156498673740053,0.9900166389351082,0.37590711175616837,0.4786806114239742,0.3659237506912765
0.24,1186,1681,2453,16,0.3259137125583952,0.9866888519134775,0.40662796323173683,0.4899814087998347,0.39331681514521444
0.25,1179,1823,2311,23,0.3378223495702006,0.980865224625624,0.4409772617319787,0.5025575447570332,0.4218424863576027
0.26,1174,1953,2181,28,0.34992548435171383,0.9767054908485857,0.47242380261248185,0.5152512617950405,0.44912929346106756
0.27,1167,2077,2057,35,0.3619727047146402,0.9708818635607321,0.5024189646831156,0.5273384545865342,0.4733008282438478
0.28,1158,2188,1946,44,0.37306701030927836,0.9633943427620633,0.5292694726656991,0.5378541569902462,0.4926638154277625
0.29,1150,2306,1828,52,0.3861652115513768,0.956738768718802,0.5578132559264635,0.5502392344497608,0.5145520246452655
0.3,1138,2415,1719,64,0.3983199159957998,0.9467554076539102,0.5841799709724238,0.560729243656073,0.530935378626334
0.31,1127,2516,1618,75,0.41056466302367944,0.937603993344426,0.6086115142718916,0.571066632885736,0.5462155076163175
0.32,1109,2613,1521,93,0.42167300380228134,0.9226289517470881,0.6320754716981132,0.5788100208768266,0.5547044234452012
0.33,1096,2708,1426,106,0.4345757335448057,0.9118136439267887,0.6550556361877117,0.5886143931256714,0.5668692801145003
0.34,1075,2814,1320,127,0.4488517745302714,0.8943427620632279,0.6806966618287373,0.5977203224909646,0.5750394238919654
0.35,1054,2910,1224,148,0.4626865671641791,0.8768718801996672,0.7039187227866474,0.6057471264367816,0.5807906029863146
0.36,1039,2999,1135,163,0.4779208831646734,0.8643926788685524,0.7254475084663764,0.615521327014218,0.5898401873349288
0.37,1015,3085,1049,187,0.49176356589147285,0.8444259567387687,0.7462506047411708,0.6215554194733619,0.5906765614799396
0.38,987,3172,962,215,0.5064135454079015,0.8211314475873545,0.7672955974842768,0.6264677880038083,0.5884270450716311
0.39,957,3268,866,245,0.5249588590235875,0.7961730449251248,0.7905176584421868,0.6327272727272728,0.5866907033673114
0.4,926,3378,756,276,0.5505350772889417,0.7703826955074875,0.8171262699564587,0.6421636615811372,0.5875089654639463
0.41,898,3466,668,304,0.5734355044699873,0.7470881863560732,0.8384131591678762,0.6488439306358381,0.5855013455239493
0.42,853,3554,580,349,0.5952547103977669,0.7096505823627288,0.8597000483792937,0.647438330170778,0.5693506307420226
0.43,820,3628,506,382,0.6184012066365008,0.6821963394342762,0.8776003870343493,0.6487341772151899,0.5597967264686254
0.44,779,3687,447,423,0.6353996737357259,0.6480865224625624,0.8918722786647315,0.6416803953871499,0.5399588011272938
0.45,738,3747,387,464,0.656,0.6139767054908486,0.9063860667634253,0.6342930812204556,0.5203627722542739
0.46,686,3829,305,516,0.6922300706357215,0.5707154742096506,0.9262215771649734,0.6256269949840402,0.4969370513746241
0.47,632,3884,250,570,0.7165532879818595,0.5257903494176372,0.9395258829221094,0.6065259117082533,0.4653162323397466
0.48,597,3934,200,605,0.7490589711417817,0.4966722129783694,0.9516207063376875,0.5972986493246624,0.44829291931605697
0.49,535,3981,153,667,0.7776162790697675,0.44509151414309484,0.9629898403483309,0.5661375661375662,0.4080813544914257
0.5,473,4011,123,729,0.7936241610738255,0.3935108153078203,0.9702467343976778,0.5261401557285874,0.3637575497054981
0.51,403,4040,94,799,0.8108651911468813,0.3352745424292845,0.9772617319787131,0.4743967039434961,0.3125362744079976
0.52,343,4066,68,859,0.8345498783454988,0.2853577371048253,0.9835510401548138,0.4252944823310602,0.268908777259639
0.53,280,4081,53,922,0.8408408408408409,0.23294509151414308,0.9871794871794872,0.3648208469055375,0.22012457869363034
0.54,235,4098,36,967,0.8671586715867159,0.19550748752079866,0.9912917271407837,0.31907671418873046,0.18679921466158245
0.55,197,4109,25,1005,0.8873873873873874,0.1638935108153078,0.9939525882922109,0.27668539325842695,0.1578460991075188
0.56,158,4115,19,1044,0.8926553672316384,0.1314475873544093,0.9954039671020803,0.22915155910079768,0.12685155445648966
0.57,116,4118,16,1086,0.8787878787878788,0.09650582362728785,0.996129656507015,0.17391304347826086,0.09263548013430278
0.58,74,4125,9,1128,0.891566265060241,0.06156405990016639,0.997822931785196,0.1151750972762646,0.059386991685362434
0.59,52,4125,9,1150,0.8524590163934426,0.04326123128119801,0.997822931785196,0.08234362628661918,0.041084163066394064
0.6,32,4129,5,1170,0.8648648648648649,0.026622296173044926,0.9987905176584422,0.051654560129136405,0.02541281383148708
0.61,21,4132,2,1181,0.9130434782608695,0.01747088186356073,0.9995162070633768,0.03428571428571429,0.016987088926937677
0.62,9,4134,0,1193,1.0,0.0074875207986688855,1.0,0.014863748967795212,0.0074875207986688785
0.63,1,4134,0,1201,1.0,0.0008319467554076539,1.0,0.0016625103906899418,0.0008319467554076532
0.64,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.65,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.66,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.67,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.68,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.69,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.7,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.71,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.72,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.73,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.74,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.75,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.76,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.77,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.78,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.79,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.8,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.81,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.82,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.83,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.84,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.85,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.86,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.87,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.88,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.89,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.9,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.91,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.92,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.93,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.94,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.95,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.96,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.97,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.98,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.99,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
1.0,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
